closure_time,censor,500m_5yr_churn,Business type,Rate type (STD),cluster,ft to downtown,is_downtown_association,is_home_occ,sq(ft),start_year,type,zone,zone_type
5140.0,1,0.0,Apparel/Accessories,Downtown Association,0,0.0,1,0,4909.187098390863,2005,Downtown Association,C,Commercial
937.0,1,0.225563909774436,Misc Business Services,General Service,2,10557.168410703522,0,0,1040694.0422821196,2009,Service,R-2,Residential
6627.0,0,0.0444444444444444,Beauty Salon,General Service,4,10798.780537546976,0,0,384996.80530674354,2008,Service,C,Commercial
516.0,1,0.4415584415584415,Miscellaneous Business,General Service,2,12873.812385833986,0,0,97915.6927441578,2019,Service,C,Commercial
10500.0,0,0.0,Rental- Commercial,Downtown Association,0,0.0,1,0,11979.026508936748,1997,Downtown Association,C,Commercial
422.0,0,0.2171052631578947,Rental- Residential,Residential Rental,1,6665.994106811335,0,0,333912.2376080268,2025,Rental,R-3,Residential
50.0,1,0.2580645161290322,Rental- Residential,Residential Rental,1,6682.277287846864,0,0,333912.2376080268,2022,Rental,R-3,Residential
1292.0,0,0.2369942196531791,Rental- Residential,Residential Rental,1,7233.31084795171,0,0,8002.566420454651,2022,Rental,R-3,Residential
14138.0,0,0.0,Rental- Commercial,Downtown Association,0,0.0,0,0,5106.552297055094,1987,Downtown Association,O,Office
3125.0,0,0.3310344827586207,Rental- Residential,Residential Rental,1,7282.59962357173,0,0,25179.4966152406,2017,Rental,R-3,Residential
1435.0,0,0.28,Rental- Residential,Residential Rental,1,9055.551347924404,0,0,5271.7997060756525,2022,Rental,R-2,Residential
1396.0,1,0.2517006802721088,Rental- Residential,Residential Rental,0,1267.3734452731392,0,0,3809.673103712624,2010,Rental,R-3,Residential
3962.0,0,0.3307790549169859,Rental- Commercial,Downtown Association,0,0.0,1,0,4440.868347550672,2015,Downtown Association,C,Commercial
957.0,1,0.2123287671232876,Rental- Residential,General Retailer,3,1957.7137144200376,0,0,13840.717935900924,2022,Retail,C,Commercial
1435.0,0,0.2181818181818181,Rental- Residential,Residential Rental,1,7756.507493563094,0,0,185323.2386382953,2022,Rental,R-3,Residential
805.0,0,0.283987915407855,Homestay,General Service,0,552.2211540291914,0,0,7819.0469564067425,2024,Service,R-2,Residential
4731.0,0,0.2270531400966183,Rental- Residential,Residential Rental,3,4069.578545155685,0,0,49528.171551684776,2013,Rental,R-4,Residential
2712.0,1,0.2608695652173913,Rental- Residential,Residential Rental,3,4069.578545155685,0,0,49528.171551684776,2010,Rental,R-4,Residential
1456.0,0,0.1690140845070422,Rental- Residential,Residential Rental,4,10651.79277535041,0,0,94725.36439411792,2022,Rental,C,Commercial
1424.0,0,0.2124352331606217,Rental- Residential,Residential Rental,3,3735.1839561025504,0,0,9797.939529804344,2022,Rental,R-1,Residential
1118.0,0,0.3333333333333333,Misc Business Services,Downtown Association,0,0.0,1,0,36099.68329911458,2023,Downtown Association,C,Commercial
4212.0,0,0.247787610619469,Rental- Commercial,Commercial Rental Property,0,950.7307343737344,0,0,7114.890323680366,2014,Rental,C,Commercial
3986.0,0,0.2822085889570552,Rental- Commercial,Commercial Rental Property,3,4145.463707514276,0,0,6464.116083731654,2015,Rental,R-1,Residential
1465.0,0,0.2416107382550335,Rental- Residential,Residential Rental,3,4169.740751542219,0,0,27726.69781839679,2022,Rental,R-4,Residential
1891.0,0,0.3956043956043956,Rental- Residential,Residential Rental,4,9558.73321749948,0,0,11283.14550940987,2021,Rental,R-1,Residential
676.0,1,0.4354838709677419,Rental- Residential,Residential Rental,1,13625.144510639282,0,0,1769.4357080215511,2015,Rental,R-2,Residential
4292.0,1,0.2837528604118993,Rental- Commercial,Commercial Rental Property,0,696.0052380481465,0,0,8871.664957221596,2012,Rental,O,Office
1112.0,0,0.2886178861788618,Rental- Residential,Residential Rental,0,949.1507019198468,0,0,15440.282656191115,2023,Rental,R-3,Residential
5666.0,0,0.2878787878787879,Rental- Residential,Residential Rental,3,4552.782293308789,0,0,90128.52158607537,2010,Rental,R-4,Residential
382.0,1,0.2722222222222222,Rental- Residential,Residential Rental,4,9721.45944705644,0,0,93487.69405701438,2010,Rental,R-2,Residential
3888.0,0,0.2391304347826087,Rental- Residential,Residential Rental,0,2861.991830154517,0,0,7090.655414094078,2015,Rental,R-2,Residential
1900.0,0,0.2708333333333333,Rental- Residential,Residential Rental,4,7870.816440355814,0,0,6205.863804125417,2021,Rental,R-1,Residential
1488.0,0,0.2974683544303797,Rental- Residential,Residential Rental,0,1127.9813010596977,0,0,5029.0585450964645,2022,Rental,R-2,Residential
1120.0,0,0.3928571428571428,Rental- Residential,Residential Rental,4,11936.951264313291,0,0,8458.30041591435,2023,Rental,R-1,Residential
