closure_time,censor,type,zone
7638,1,Downtown Association,C-D
6114,1,Service,R-2
5972,1,Rental,R-1
2558,1,Service,R-2
3957,1,Service,C-D
1452,1,Rental,R-2
1434,1,Rental,R-1
5662,1,Rental,C-S
7350,1,Downtown Association,R-1
1281,1,Retail,R-1
5652,1,Rental,
5459,1,Retail,R-2
1606,1,Rental,R-2
3783,1,Rental,R-1
4935,1,Rental,M
5662,1,Rental,C-R
3230,1,Rental,R-2
1767,1,Rental,R-2
3461,1,Rental,C-S
11296,1,Retail,R-1
2890,1,Rental,C-S
2613,1,Service,C/OS
5271,1,Rental,C-S
4033,1,Downtown Association,R-2
8854,1,Downtown Association,R-1
7601,1,Service,R-3
1159,1,Retail,C-D
13061,1,Retail,"117    R-4
117    R-4
Name: zone, dtype: object"
5656,1,Rental,
2771,1,Rental,O
9166,1,Rental,M
1457,1,Rental,C-D
3230,1,Service,M
1456,1,Rental,R-1
1025,1,Service,R-2
2809,1,Service,C-S
4948,1,Rental,O
5655,1,Rental,R-2
4810,1,Rental,R-2
7707,1,Retail,C-R
1815,1,Retail,O
6057,1,Retail,R-3
1662,1,Service,R-1
5650,1,Service,R-2
3432,1,Downtown Association,C-S
6630,1,Service,C-S
1524,1,Rental,O
2970,1,Other,"1172    M
1172    M
Name: zone, dtype: object"
15953,1,Service,R-4
7393,1,Service,R-1
7699,1,Service,C-S
3184,1,Service,R-2
1781,1,Service,R-1
6804,1,Service,R-1
7587,1,Retail,O
9151,1,Rental,R-1
8206,1,Rental,C-D
3549,1,Rental,C-S
5617,1,Rental,R-1
9198,1,Rental,C-S
1093,1,Rental,C-C
15953,1,Rental,O
2711,1,Rental,C-R
5005,1,Downtown Association,R-3
1276,1,Downtown Association,C-S
242,1,Service,C-S
2487,1,Service,R-3
1577,1,Service,"117    R-4
117    R-4
Name: zone, dtype: object"
15953,1,Retail,R-1
1626,1,Rental,R-1
7733,1,Downtown Association,C-C
2884,1,Rental,O
5874,1,Service,C-D
5839,1,Service,M
9109,1,Other,R-1
8676,1,Service,
5125,1,Service,R-2
9359,1,Service,M
14770,1,Service,C-S
11266,1,Service,R-1
5634,1,Rental,R-3
11937,1,Service,C-S
9374,1,Service,O
5154,1,Service,C-C
5706,1,Service,R-2
7289,1,Service,R-2
6021,1,Downtown Association,R-2
8919,1,Service,R-2
7000,1,Service,R-1
7241,1,Service,M
10345,1,,R-1
8732,1,Service,R-1
2200,1,Service,O
15588,1,Service,C-S
2778,1,Retail,R-1
4896,1,Downtown Association,C-T
6848,1,Service,R-2
8522,1,Service,R-1
5362,1,Other,R-3
6008,1,Service,O
7107,1,Service,O
4320,1,Downtown Association,R-2
4628,1,Other,"117    R-4
117    R-4
Name: zone, dtype: object"
3823,1,Service,R-1
5027,1,,R-2
11724,1,Service,C-S
6064,1,,C-D
1421,1,Service,C-D
5627,1,Rental,O
6251,1,Retail,R-1
7911,1,Service,C-D
9666,1,Downtown Association,
7855,1,Service,R-2
11230,1,Service,R-3
11731,1,Retail,R-2
6390,1,Service,C-D
4138,1,Service,R-1
5999,1,Service,R-1
9465,1,Service,R-2
8668,1,Service,C-S
7321,1,Retail,O
6555,1,Service,C-S
7146,1,Service,C-S
9479,1,Downtown Association,R-1
9732,1,Service,C-D
7491,1,Service,O
1444,1,Service,C-C
6230,1,Service,O
11676,1,Service,R-3
5613,1,Rental,R-4
14004,1,Service,R-2
9667,1,Retail,C-D
6611,1,Retail,C-S
5627,1,Rental,C-S
5627,1,Rental,R-2
6114,1,,
7596,1,Downtown Association,R-2
7281,1,Service,R-2
3916,1,Rental,R-2
4264,1,Retail,C-D
3366,1,Service,R-1
8340,1,Service,R-3
6875,1,Service,R-2
4047,1,Downtown Association,R-2
2835,1,Service,O
6635,1,Service,C-C
9211,1,Rental,BP
2912,1,Downtown Association,"806    M
806    M
Name: zone, dtype: object"
9884,1,Downtown Association,R-1
4826,1,Service,C-S
4208,1,Service,C-R
9747,1,Service,M
3710,1,Service,O
5627,1,Other,C-D
1251,1,Retail,O
3663,1,Service,C-D
6261,1,Service,R-2
5546,1,Service,R-2
13475,1,Service,C-S
14248,1,Retail,O
7611,1,Service,"1172    M
1172    M
Name: zone, dtype: object"
10825,1,Service,R-1
6765,1,,R-1
4959,1,Retail,R-1
2662,1,Downtown Association,C-T
6314,1,Service,C-R
11490,1,Service,C-D
6345,1,Service,R-3
5622,1,Rental,R-2
3779,1,Service,C-S
5655,1,Rental,C-D
8254,1,Service,C-C
5335,1,Rental,O
1441,1,Rental,C-S
4161,1,Service,C-S
8536,1,Service,C-R
5655,1,Rental,M
8886,1,Service,R-2
10600,1,Service,C-C
8218,1,Service,C-S
6923,1,Downtown Association,R-2
7300,1,Downtown Association,C-D
9236,1,Service,C-S
6064,1,Service,C-D
3557,1,Rental,O
6524,1,Service,C-C
7570,1,Downtown Association,R-2
978,1,Service,C-S
7049,1,Downtown Association,C-D
10587,1,Service,C-D
6281,1,Service,"102    R-1
102    R-1
Name: zone, dtype: object"
6744,1,Rental,R-4
4727,1,Downtown Association,R-4
1129,1,Service,C-S
7049,1,Service,C-S
9892,1,Service,R-1
3095,1,Downtown Association,C-D
3438,1,Service,R-1
2617,1,Service,C-S
12027,1,Downtown Association,O
7429,1,Service,R-2
7070,1,Service,R-2
10039,1,Other,C-S
8029,1,Service,R-2
4668,1,Service,C-D
1933,1,Retail,C-D
7504,1,Service,R-2
8672,1,Service,C-S
642,1,Service,C-D
1599,1,Service,R-4
1493,1,Rental,R-1
7119,1,Retail,R-2
247,1,Retail,R-2
2320,1,Service,R-1
6393,1,Rental,C-D
10118,1,Service,C-D
13061,1,Service,R-3
6041,1,Retail,R-2
978,1,Retail,C-S
10886,1,Retail,C-S
14559,1,Service,R-1
4977,1,Service,C-D
10676,1,Service,C-S
2213,1,Service,R-2
