DBA,Business type,Bus address,Start date,Close date,License description,Rate type (STD),closure_time,censor,type,longitude,latitude
!ROMP,Apparel/Accessories,714 HIGUERA ST,4/6/2005,5/3/2019,,Downtown Association,7638,1,Downtown Association,-120.6642767,35.27909373
"""""""Angel Lynn""""""",Misc Business Services,3860 S HIGUERA ST SP A24,6/8/2009,1/1/2012,"Face Painting, Balloon Sculpture, Card Tricks, Magic Tricks",General Service,6114,1,Service,-120.6732622,35.24758348
"""""""Slack""""""",Rental- Residential,2045 SLACK ST,10/28/2009,4/20/2017,Residential Property Rental,Residential Rental,5972,1,Rental,-120.6500131,35.29590877
{Ther-Happy} By Natalie Garay,Miscellaneous Business,4251 S HIGUERA ST STE 300,3/4/2019,8/1/2020,Private Pilates Instrucion & Flower Essence Therapy For Postpartum Women,General Service,2558,1,Service,-120.676363,35.241632
1 Dream Education,Home Occupation,357 SAGE ST,5/5/2015,5/31/2022,Education Consulting,Professional Service,3957,1,Service,-120.6626255,35.25544887
1025 Southwood Rental,Rental- Residential,1025 SOUTHWOOD DR UNIT J,3/14/2022,5/3/2022,Rental Unit,Residential Rental,1452,1,Rental,-120.6434086,35.26598969
1050 Bluebell Condo,Rental- Residential,1050 BLUEBELL WAY,4/1/2022,8/31/2022,Condo Rental,Residential Rental,1434,1,Rental,-120.6356731,35.24909512
1105 Leff Street Rental,Rental- Residential,1105 LEFF ST,9/3/2010,6/30/2014,,Residential Rental,5662,1,Rental,-120.6551318,35.27734349
1119 Garden Street Building,Rental- Commercial,1119 GARDEN ST,1/19/2006,10/1/2015,Commercial Rental Property,Downtown Association,7350,1,Downtown Association,-120.6633917,35.27920011
1121 Montalban LLC,Rental- Residential,1121 MONTALBAN ST,9/1/2022,4/15/2025,Property management,General Retailer,1281,1,Retail,-120.6645697,35.28845967
1185 E. Foothill LLC,Rental- Residential,1185 E FOOTHILL BLVD APT 26,9/13/2010,2/15/2018,rental proerty,Residential Rental,5652,1,Rental,-120.6642887,35.29476518
11th Hole Grill,Food Store,11175 LOS OSOS VALLEY RD,3/25/2011,7/31/2021,Food Concession At Site,General Retailer,5459,1,Retail,-120.6969371,35.262186
"12 at Ke One 'Ele' ele, LLC",Rental- Residential,1733 FARRIER CT,10/11/2021,5/20/2022,residential real estate rental,Residential Rental,1606,1,Rental,-120.6926283,35.253559
1292 Chaparral Circle,Rental- Residential,1292 CHAPARRAL CIR,10/26/2015,9/1/2017,Rental Property,Residential Rental,3783,1,Rental,-120.6310606,35.24963664
1305 Marsh Street LLC,Rental- Commercial,1305 MARSH ST,8/30/2012,5/31/2024,Real Estate Investment,Commercial Rental Property,4935,1,Rental,-120.6557472,35.28299182
1351 Royal Way #9,Rental- Residential,1351 ROYAL WAY #9,9/3/2010,9/20/2011,,Residential Rental,5662,1,Rental,-120.6915365,35.2592573
1370 Taft LLC,Rental- Residential,3 RENTAL LOCATIONS,5/1/2017,9/23/2025,Rental Properties,Residential Rental,3230,1,Rental,0.0,0.0
1681 Colina Rental,Rental- Residential,1681 COLINA CT,5/3/2021,6/30/2022,Residential Rentals,Residential Rental,1767,1,Rental,-120.6328739,35.26621776
171 Felmar Rental,Rental- Residential,171 FEL MAR DR,9/12/2016,6/30/2019,Residential Rental,Residential Rental,3461,1,Rental,-120.6844134,35.29893515
1865 Restaurant,Restaurant,1865 MONTEREY ST,4/1/1995,11/27/2007,,General Retailer,11296,1,Retail,-120.6511679,35.28895128
1871 Partridge Drive,Rental- Residential,1871 PARTRIDGE DR,4/6/2018,12/31/2018,Rental Property,Residential Rental,2890,1,Rental,-120.6989659,35.25628467
1904 Broad Homestay,Hotels and Motels,1904 BROAD ST,1/8/2019,9/12/2019,Homestay,General Service,2613,1,Service,-120.6588228,35.27269264
1992 Fixlini,Rental- Residential,1992 FIXLINI ST,9/29/2011,5/31/2013,Residential Rental Property,Residential Rental,5271,1,Rental,-120.6480799,35.27804364
"2 Blondes, LLC",Retail,1115 BROAD ST,2/18/2015,1/31/2020,Women's Clothing Boutique,Downtown Association,4033,1,Downtown Association,-120.6643554,35.27865758
2 Dog Coffee Company,Restaurant,1017 MONTEREY ST,12/7/2001,4/24/2007,,Downtown Association,8854,1,Downtown Association,-120.6610116,35.2818882
2 The T Auto Detailing,,188 TANK FARM RD,5/13/2005,10/17/2006,,General Service,7601,1,Service,-120.6685083,35.24686046
20 West Studios,Entertainment,2103 Parker Street,1/1/2023,7/1/2025,Music Recording Studio,General Retailer,1159,1,Retail,-120.6693281,35.27080197
2002 Haus,Retail,855 CAPITOLIO WAY STE 5,6/1/1990,12/22/2016,,General Retailer,13061,1,Retail,-120.6435161,35.25765922
2004,Rental- Residential,1444 LAUREL LN,9/9/2010,11/30/2022,Residential Rental,Residential Rental,5656,1,Rental,-120.6389006,35.26771763
22 North Chorro Project Owner LLC,Rental- Residential,22 N CHORRO ST,8/3/2018,5/29/2024,Mixed Use Apartment Building Opening Sept 2018,Residential Rental,2771,1,Rental,-120.6699201,35.29350006
2300 Sunset Drive LLC,Rental- Residential,2300 SUNSET DR,1/29/2001,3/7/2014,,Residential Rental,9166,1,Rental,-120.6422682,35.27504288
2333 Helena Street Rental,Rental- Residential,2333 HELENA ST,3/9/2022,6/16/2022,Rental Property,Residential Rental,1457,1,Rental,-120.6487109,35.27069914
2350 Meadow Homestay,Hotels and Motels,2350 MEADOW ST,5/1/2017,2/5/2020,Homestay,General Service,3230,1,Service,-120.6580526,35.26778787
2524 Augusta Rental,Rental- Residential,2524 AUGUSTA ST,3/10/2022,10/2/2023,Rental house,Residential Rental,1456,1,Rental,-120.6454092,35.27025375
2548 Meadow Rental,Homestay,2548 MEADOW ST,5/15/2023,6/4/2024,Homestay,General Service,1025,1,Service,-120.658082,35.2660167
255 Rosita St B&B,Hotels and Motels,255 ROSITA ST,6/26/2018,6/30/2019,Homestay,General Service,2809,1,Service,-120.6844721,35.2953696
258 Chorro Street Rental,Rental- Residential,258 CHORRO ST,8/17/2012,5/17/2017,,Residential Rental,4948,1,Rental,-120.6687943,35.28764523
"269 Cerro, L L C",Rental- Residential,2 LOCATIONS,9/10/2010,4/15/2015,,Residential Rental,5655,1,Rental,0.0,0.0
"2885 S Higuera Street, LLC",Rental- Commercial,2885 S HIGUERA ST,1/2/2013,5/29/2015,Commercial Rental Property,Commercial Rental Property,4810,1,Rental,-120.669285,35.26174456
2br,Retail,3960 S HIGUERA ST 61,1/27/2005,7/20/2006,,General Retailer,7707,1,Retail,-120.6735504,35.24709949
2HERC,Home Occupation,1934 CHORRO ST #3,3/16/2021,7/10/2022,"E-Tailer, Web Design, Development & Marketing",General Retailer,1815,1,Retail,-120.6572567,35.27315837
325ENIGMA,Home Occupation,416 PATRICIA DR,8/4/2009,9/22/2011,Sell A Dvd On The Internet That Was Created,General Retailer,6057,1,Retail,-120.6835477,35.29769783
333 Design Studios,Professional,1352 PARTNER RD #1,8/16/2021,6/7/2023,Residential Design Service/Documenting for Planning & Development,Professional Service,1662,1,Service,-120.7190743,35.28740818
34 North,Software Development,604 HENDERSON AVE STE 200,9/15/2010,10/23/2012,Software Development,General Service,5650,1,Service,-120.65057,35.29132561
"35 Degree Properties, LLC",Rental- Commercial,1304 GARDEN ST,10/11/2016,2/28/2018,Leasing Of Non Residential Buildings,Downtown Association,3432,1,Downtown Association,-120.6620714,35.27792049
360 Imaging Solutions,Home Occupation,1769 TONINI DR,1/9/2008,6/30/2020,General Photographic Services,General Service,6630,1,Service,-120.6915149,35.254782
