censor,closure_time,start_year,Business type,Rate type (STD),type,sq(ft),is_downtown_association,zone,zone_type,is_home_occ,ft to downtown
1,7639,2005,Apparel/Accessories,Downtown Association,Downtown Association,4909.187098390863,True,C,Commercial,False,0.0
1,6115,2009,Misc Business Services,General Service,Service,1040694.0422821196,False,R-2,Residential,False,10557.168410703522
1,5973,2009,Rental- Residential,Residential Rental,Rental,6569.624626440935,False,R-1,Residential,False,5416.653426827137
0,1796,2021,Restaurant,General Retailer,Retail,15103.821983446693,False,C,Commercial,False,4909.046543746741
0,6617,2008,Beauty Salon,General Service,Service,384996.80530674354,False,C,Commercial,False,10798.780537546976
1,2559,2019,Miscellaneous Business,General Service,Service,97915.6927441578,False,C,Commercial,False,12873.812385833986
1,3958,2015,Home Occupation,Professional Service,Service,5401.547020773948,False,R-1,Residential,True,7553.345909869239
0,10490,1997,Rental- Commercial,Downtown Association,Downtown Association,11979.026508936748,True,C,Commercial,False,0.0
0,412,2025,Rental- Residential,Residential Rental,Rental,333912.2376080268,False,R-3,Residential,False,6665.994106811335
1,1453,2022,Rental- Residential,Residential Rental,Rental,333912.2376080268,False,R-3,Residential,False,6682.277287846864
0,3809,2015,Rental- Residential,Residential Rental,Rental,5284.099159221622,False,O,Office,False,873.1854666654167
0,2046,2020,Rental- Commercial,Downtown Association,Downtown Association,23778.271993605973,True,C,Commercial,False,0.0
0,1282,2022,Rental- Residential,Residential Rental,Rental,8002.566420454651,False,R-3,Residential,False,7233.31084795171
0,14128,1987,Rental- Commercial,Downtown Association,Downtown Association,5106.552297055094,False,O,Office,False,0.0
0,3115,2017,Rental- Residential,Residential Rental,Rental,25179.4966152406,False,R-3,Residential,False,7282.59962357173
1,1435,2022,Rental- Residential,Residential Rental,Rental,136728.55655408156,False,R-2,Residential,False,12941.418162577163
0,1425,2022,Rental- Residential,Residential Rental,Rental,5271.7997060756525,False,R-2,Residential,False,9055.551347924404
0,3507,2016,Rental- Residential,Residential Rental,Rental,6477.679956766144,False,R-1,Residential,False,11329.90046117828
1,5663,2010,Rental- Residential,Residential Rental,Rental,3809.673103712624,False,R-3,Residential,False,1267.3734452731392
0,3952,2015,Rental- Commercial,Downtown Association,Downtown Association,4440.868347550672,True,C,Commercial,False,0.0
1,7351,2006,Rental- Commercial,Downtown Association,Downtown Association,3800.255559881103,True,C,Commercial,False,0.0
1,1282,2022,Rental- Residential,General Retailer,Retail,13840.717935900924,False,C,Commercial,False,1957.7137144200376
0,2548,2019,Hotels and Motels,Downtown Association,Downtown Association,3800.255559881103,True,C,Commercial,False,0.0
0,1425,2022,Rental- Residential,Residential Rental,Rental,185323.2386382953,False,R-3,Residential,False,7756.507493563094
0,795,2024,Homestay,General Service,Service,7819.0469564067425,False,R-2,Residential,False,552.2211540291914
0,1525,2022,Rental- Residential,Residential Rental,Rental,6666.856111253946,False,R-1,Residential,False,3296.025455094902
0,4846,2012,Rental- Residential,Residential Rental,Rental,6132.805862789232,False,R-1,Residential,False,13563.229526682038
0,4721,2013,Rental- Residential,Residential Rental,Rental,49528.171551684776,False,R-4,Residential,False,4069.578545155685
1,5653,2010,Rental- Residential,Residential Rental,Rental,49528.171551684776,False,R-4,Residential,False,4069.578545155685
