DBA,Business type,Bus address,Start date,Close date,License description,Rate type (STD),type,long,lat,closure_time,censor,zone,parcel,sq(ft),is_downtown_association,zone_type,is_home_occ,ft to downtown
!ROMP,Apparel/Accessories,714 HIGUERA ST,2005-04-06,2019-05-03,,Downtown Association,Downtown Association,-120.664276716825,35.279093725143,7639,1,C,002-423-013,4909.187098390863,True,Commercial,False,0.0
"""""""Angel Lynn""""""",Misc Business Services,3860 S HIGUERA ST SP A24,2009-06-08,2012-01-01,"Face Painting, Balloon Sculpture, Card Tricks, Magic Tricks",General Service,Service,-120.673262243407,35.247583480192,6115,1,R-2,053-131-011,1040694.0422821196,False,Residential,False,10557.168410703522
"""""""Slack""""""",Rental- Residential,2045 SLACK ST,2009-10-28,2017-04-20,Residential Property Rental,Residential Rental,Rental,-120.65001305084,35.295908772651,5973,1,R-1,052-124-010,6569.624626440935,False,Residential,False,5416.653426827137
@ BITES,Restaurant,195 N SANTA ROSA ST,2021-04-05,,Fast Food Restaurant,General Retailer,Retail,-120.669502,35.29549,1796,0,C,052-332-041,15103.821983446693,False,Commercial,False,4909.046543746741
@ Nails,Beauty Salon,1519 FROOM RANCH WAY STE A BLDG E,2008-01-23,,Nail Salon,General Service,Service,-120.687969391815,35.252327096292,6617,0,C,053-510-016,384996.80530674354,False,Commercial,False,10798.780537546976
{Ther-Happy} By Natalie Garay,Miscellaneous Business,4251 S HIGUERA ST STE 300,2019-03-04,2020-08-01,Private Pilates Instrucion & Flower Essence Therapy For Postpartum Women,General Service,Service,-120.676363,35.241632,2559,1,C,053-264-007,97915.6927441578,False,Commercial,False,12873.812385833986
1 Dream Education,Home Occupation,357 SAGE ST,2015-05-05,2022-05-31,Education Consulting,Professional Service,Service,-120.662625480472,35.255448867148,3958,1,R-1,053-432-027,5401.547020773948,False,Residential,True,7553.345909869239
1001 Higuera Street Plaza,Rental- Commercial,1001 HIGUERA ST,1997-06-16,,Rental Property,Downtown Association,Downtown Association,-120.660652959908,35.281106570015,10490,0,C,002-435-022,11979.026508936748,True,Commercial,False,0.0
1023 A Rental,Rental- Residential,1023 SOUTHWOOD DR UNIT A,2025-01-18,,Rental,Residential Rental,Rental,-120.643468960652,35.266006262312,412,0,R-3,004-965-001,333912.2376080268,False,Residential,False,6665.994106811335
1025 Southwood Rental,Rental- Residential,1025 SOUTHWOOD DR UNIT J,2022-03-14,2022-05-03,Rental Unit,Residential Rental,Rental,-120.643408578411,35.26598968679,1453,1,R-3,004-965-001,333912.2376080268,False,Residential,False,6682.277287846864
1027 Walnut LLC,Rental- Residential,1027 WALNUT ST,2015-10-01,,Residential Apartments,Residential Rental,Rental,-120.663784939513,35.285268286142,3809,0,O,002-313-005,5284.099159221622,False,Office,False,873.1854666654167
1035 Monterey Investors LLC + Once Upon a Time LP,Rental- Commercial,1035-1037 MONTEREY ST,2020-07-29,,Commercial Rental Property,Downtown Association,Downtown Association,-120.660745611411,35.282043573737,2046,0,C,002-434-003,23778.271993605973,True,Commercial,False,0.0
"1039D Southwood Drive, LLC",Rental- Residential,1039 SOUTHWOOD DR UNIT D,2022-09-01,,Long term rental property,Residential Rental,Rental,-120.641393143348,35.265436788194,1282,0,R-3,004-960-032,8002.566420454651,False,Residential,False,7233.31084795171
1042 Pacific St Partnership,Rental- Commercial,1042 PACIFIC ST STE B,1987-07-01,,Rental-Professional Office,Downtown Association,Downtown Association,-120.658875028639,35.28004070329,14128,0,O,002-443-009,5106.552297055094,False,Office,False,0.0
1043 Southwood Drive H,Rental- Residential,1043 SOUTHWOOD DR #H,2017-08-25,,Condo Rental,Residential Rental,Rental,-120.641215161741,35.26538805512,3115,0,R-3,004-960-049,25179.4966152406,False,Residential,False,7282.59962357173
1050 Bluebell Condo,Rental- Residential,1050 BLUEBELL WAY,2022-04-01,2022-08-31,Condo Rental,Residential Rental,Rental,-120.635673124449,35.249095119754,1435,1,R-2,053-080-054,136728.55655408156,False,Residential,False,12941.418162577165
1060 Willow Circle Rental,Rental- Residential,1060 WILLOW CIR,2022-04-11,,Condo Rental,Residential Rental,Rental,-120.641399966867,35.258915721343,1425,0,R-2,053-072-027,5271.7997060756525,False,Residential,False,9055.551347924404
1092 San Adriano St. Rental,Rental- Residential,1092 SAN ADRIANO ST,2016-07-29,,Residential Rental Property,Residential Rental,Rental,-120.701251326732,35.26357996173,3507,0,R-1,053-242-031,6477.679956766144,False,Residential,False,11329.90046117828
1105 Leff Street Rental,Rental- Residential,1105 LEFF ST,2010-09-03,2014-06-30,,Residential Rental,Rental,-120.65513182252,35.277343491111,5663,1,R-3,003-556-021,3809.673103712624,False,Residential,False,1267.3734452731392
"1119 Chorro Street, LLC",Rental- Commercial,1119 N CHORRO ST,2015-05-11,,Commercial Rental Property,Downtown Association,Downtown Association,-120.662767286237,35.279662253823,3952,0,C,002-426-004,4440.868347550672,True,Commercial,False,0.0
1119 Garden Street Building,Rental- Commercial,1119 GARDEN ST,2006-01-19,2015-10-01,Commercial Rental Property,Downtown Association,Downtown Association,-120.663391656231,35.279200111209,7351,1,C,002-424-010,3800.255559881103,True,Commercial,False,0.0
1121 Montalban LLC,Rental- Residential,1121 MONTALBAN ST,2022-09-01,2025-04-15,Property management,General Retailer,Retail,-120.664569670353,35.288459667635,1282,1,C,001-114-036,13840.717935900924,False,Commercial,False,1957.7137144200376
1125 Garden Street Hotel Investors LP,Hotels and Motels,1119 GARDEN ST,2019-03-15,,Restaurant & Bar,Downtown Association,Downtown Association,-120.663391656231,35.279200111209,2548,0,C,002-424-010,3800.255559881103,True,Commercial,False,0.0
1133 Laurel Ln,Rental- Residential,1133 LAUREL LN,2022-04-11,,Real Estate Rental,Residential Rental,Rental,-120.642237257325,35.26297591145,1425,0,R-3,004-563-065,185323.2386382953,False,Residential,False,7756.507493563094
1137 Peach St,Homestay,1137 PEACH ST,2024-01-01,,Homestay,General Service,Service,-120.661560481652,35.285363923426,795,0,R-2,002-316-004,7819.0469564067425,False,Residential,False,552.2211540291914
116 Chorro Rental,Rental- Residential,116 CHORRO ST,2022-01-01,,116 Chorro Rental,Residential Rental,Rental,-120.669573996879,35.290108517387,1525,0,R-1,001-022-020,6666.856111253946,False,Residential,False,3296.025455094902
1170 Fuller Rd,Rental- Residential,1170 FULLER RD,2012-11-28,,Residential Rental Property,Residential Rental,Rental,-120.634536053995,35.247662461952,4846,0,R-1,053-089-014,6132.805862789232,False,Residential,False,13563.229526682038
1185 E Foothill Blvd Apt 31,Rental- Residential,1185 E FOOTHILL BLVD APT 31,2013-04-02,,Residential Rental Property,Residential Rental,Rental,-120.664288722571,35.29476518458,4721,0,R-4,052-184-037,49528.171551684776,False,Residential,False,4069.578545155685
1185 E. Foothill LLC,Rental- Residential,1185 E FOOTHILL BLVD APT 26,2010-09-13,2018-02-15,rental proerty,Residential Rental,Rental,-120.664288722571,35.29476518458,5653,1,R-4,052-184-037,49528.171551684776,False,Residential,False,4069.578545155685
