,DBA,Business type,Bus address,"Bus City, State",Start date,Close date,Account #,Owner Name 1,License description,Rate type (STD),type,long,lat,closure_time,censor,zone,parcel
0,!ROMP,Apparel/Accessories,714 HIGUERA ST,"SAN LUIS OBISPO, CA 93401-3513",2005-04-06,2019-05-03,16453,"English, Karen",,Downtown Association,Downtown Association,-120.664276716825,35.279093725143,7639,1,C-D,002-423-013
1,"""""""Angel Lynn""""""",Misc Business Services,3860 S HIGUERA ST SP A24,"SAN LUIS OBISPO, CA 93401-7460",2009-06-08,2012-01-01,107052,"Block, Fay","Face Painting, Balloon Sculpture, Card Tricks, Magic Tricks",General Service,Service,-120.673262243407,35.247583480192,6115,1,R-2,053-131-011
2,"""""""Slack""""""",Rental- Residential,2045 SLACK ST,"SAN LUIS OBISPO, CA 93405-2107",2009-10-28,2017-04-20,107394,"Scheel Larsen, Anne",Residential Property Rental,Residential Rental,Rental,-120.65001305084,35.295908772651,5973,1,R-1,052-124-010
3,@ BITES,Restaurant,195 N SANTA ROSA ST,"SAN LUIS OBISPO, CA 93405-1322",2021-04-05,,117190,"Le, Phuong",Fast Food Restaurant,General Retailer,Retail,-120.669502,35.29549,1796,0,C-R,052-332-041
4,@ Nails,Beauty Salon,1519 FROOM RANCH WAY STE A BLDG E,"SAN LUIS OBISPO, CA 93405-7211",2008-01-23,,106088,"Nguyen, Kieutrinh",Nail Salon,General Service,Service,-120.687969391815,35.252327096292,6617,0,C-R,053-510-016
5,{Ther-Happy} By Natalie Garay,Miscellaneous Business,4251 S HIGUERA ST STE 300,"SAN LUIS OBISPO, CA 93401-7700",2019-03-04,2020-08-01,115600,"Garay, Natalie",Private Pilates Instrucion & Flower Essence Therapy For Postpartum Women,General Service,Service,-120.676363,35.241632,2559,1,C-S,053-264-007
6,1 Dream Education,Home Occupation,357 SAGE ST,"SAN LUIS OBISPO, CA 93401",2015-05-05,2022-05-31,112734,"Mott, Tom",Education Consulting,Professional Service,Service,-120.662625480472,35.255448867148,3958,1,R-1,053-432-027
7,1001 Higuera Street Plaza,Rental- Commercial,1001 HIGUERA ST,"SAN LUIS OBISPO, CA 93401-3688",1997-06-16,,9870,"Billingsley, David",Rental Property,Downtown Association,Downtown Association,-120.660652959908,35.281106570015,10490,0,C-D,002-435-022
8,1023 A Rental,Rental- Residential,1023 SOUTHWOOD DR UNIT A,"SAN LUIS OBISPO, CA 93401-5866",2025-01-18,,121061,"Nunez, Jacob D",Rental,Residential Rental,Rental,-120.643468960652,35.266006262312,412,0,R-3,004-965-001
9,1023 Monterey Investors LLC + Once Upon a Time LP,Rental- Commercial,4 LOCATIONS-PROPERTY RENTALS,"SAN LUIS OBISPO, CA 93401",1992-05-14,,5444,"Rossi, Robin L",Commercial Rental Property,Downtown Association,Downtown Association,,,12349,0,,
10,1025 Southwood Rental,Rental- Residential,1025 SOUTHWOOD DR UNIT J,"SAN LUIS OBISPO, CA 93401-5869",2022-03-14,2022-05-03,118172,"Jacobs, Mark",Rental Unit,Residential Rental,Rental,-120.643408578411,35.26598968679,1453,1,R-3,004-965-001
11,1027 Walnut LLC,Rental- Residential,1027 WALNUT ST,"SAN LUIS OBISPO, CA 93401-2728",2015-10-01,,117931,1027 Walnut LLC,Residential Apartments,Residential Rental,Rental,-120.663784939513,35.285268286142,3809,0,O,002-313-005
